04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:23 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 6E844753DD276E99 REST.DELETE.OBJECT long-desc-extension2/long-desc-extension2-1.0.0.zip "DELETE /repository.brackets.io/long-desc-extension2/long-desc-extension2-1.0.0.zip HTTP/1.1" 204 - - 929 67 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:23 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 70DED5AFE28829DF REST.DELETE.OBJECT hoverpreview/hoverpreview-0.4.0.zip "DELETE /repository.brackets.io/hoverpreview/hoverpreview-0.4.0.zip HTTP/1.1" 204 - - 1528120 67 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:23 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 903099CAD743EB8F REST.DELETE.OBJECT long-desc-extension/long-desc-extension-1.0.0.zip "DELETE /repository.brackets.io/long-desc-extension/long-desc-extension-1.0.0.zip HTTP/1.1" 204 - - 891 263 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:23 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 914C844939B576F7 REST.DELETE.OBJECT incompatible-version/incompatible-version-1.0.0.zip "DELETE /repository.brackets.io/incompatible-version/incompatible-version-1.0.0.zip HTTP/1.1" 204 - - 504 163 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:23 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 917633B4F950A032 REST.GET.BUCKET - "GET /repository.brackets.io?prefix=long-desc-extension2/&max-keys=1000 HTTP/1.1" 200 - 642 - 195 194 "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:24 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 11F63B4CF7C3A175 REST.DELETE.OBJECT select-parent/select-parent-1.0.0.zip "DELETE /repository.brackets.io/select-parent/select-parent-1.0.0.zip HTTP/1.1" 204 - - 56846 30 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:24 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 1E710ABDE564EB38 REST.GET.BUCKET - "GET /repository.brackets.io?prefix=pflynn.brackets.commands.guide/&max-keys=1000 HTTP/1.1" 200 - 1067 - 20 19 "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:24 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 3B015E4A166F30C3 REST.GET.BUCKET - "GET /repository.brackets.io?prefix=select-parent/&max-keys=1000 HTTP/1.1" 200 - 623 - 52 51 "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:24 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor 50DCA3702301441E REST.DELETE.OBJECT test-quickly/test-quickly-1.0.1.zip "DELETE /repository.brackets.io/test-quickly/test-quickly-1.0.1.zip HTTP/1.1" 204 - - 2004 43 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:24 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor CEED26AD44B11D1B REST.GET.BUCKET - "GET /repository.brackets.io?prefix=test-quickly/&max-keys=1000 HTTP/1.1" 200 - 977 - 97 92 "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:24 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor D34D29F50D003329 REST.DELETE.OBJECT malicious-script-extension/malicious-script-extension-1.0.0.zip "DELETE /repository.brackets.io/malicious-script-extension/malicious-script-extension-1.0.0.zip HTTP/1.1" 204 - - 777 47 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:24 +0000] 10.194.64.24 arn:aws:iam::581309990414:user/kdangoor FB0A6A7C89CC5B23 REST.GET.BUCKET - "GET /repository.brackets.io?prefix=malicious-script-extension/&max-keys=1000 HTTP/1.1" 200 - 660 - 204 203 "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:19:41 +0000] 10.87.166.136 arn:aws:iam::581309990414:user/kdangoor C8C38EEA0727F8DA REST.GET.VERSIONING - "GET /repository.brackets.io?versioning HTTP/1.1" 200 - 113 - 48 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:20:46 +0000] 54.225.77.116 arn:aws:iam::581309990414:user/brackets-registry E5261CEEFB600709 REST.GET.OBJECT registry.json "GET /repository.brackets.io/registry.json HTTP/1.1" 200 - 37 37 41 41 "-" "aws-sdk-nodejs/v0.9.7-pre.8 linux/v0.8.22" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:25:53 +0000] 10.253.215.31 arn:aws:iam::581309990414:user/kdangoor 769E8FC41B8F8CAC REST.GET.BUCKETPOLICY - "GET /repository.brackets.io?policy HTTP/1.1" 200 - 291 - 47 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:25:53 +0000] 10.253.215.31 arn:aws:iam::581309990414:user/kdangoor 7A9B7321C9DC3303 REST.GET.REQUEST_PAYMENT - "GET /repository.brackets.io?requestPayment HTTP/1.1" 200 - 172 - 30 - "-" "S3Console/0.4" -
04db613bd000d07badc32d16138efc3efa3e96c6c3ca18365997ba468a6ac850 repository.brackets.io [10/Apr/2013:18:28:11 +0000] 67.161.73.79 - D2102F674B77FCBC REST.GET.OBJECT select-parent/select-parent-1.0.0.zip "GET /repository.brackets.io/select-parent/select-parent-1.0.0.zip HTTP/1.1" 200 - 56846 56846 28 25 "-" "Mozilla/5.0 (Macintosh; Intel Mac OS X 10_8_3) AppleWebKit/537.31 (KHTML, like Gecko) Chrome/26.0.1410.43 Safari/537.31" -
